type,FT Ada,FT Babbage,FT Curie,FT Davinci,CC 3.5: S,CC 3.5: M,CC 3.5: L,CC 4: S,CC 4: M,CC 4: L
Concatenate two,0.014240,0.013680,0.058800,1.056000,0.118000,0.149400,0.214400,3.504000,4.386000,6.402000
Transform a map,0.014720,0.023040,0.096000,1.584000,0.146600,0.184400,0.218800,3.834000,4.614000,6.642000
receive an obje,0.030560,0.087360,0.325200,3.204000,0.154600,0.183600,0.244000,4.422000,5.274000,7.302000
receive an item,0.018400,0.036240,0.091200,2.268000,0.134400,0.161400,0.228200,3.906000,4.806000,6.816000
Send an HTTP PO,0.018240,0.022560,0.112800,1.128000,0.137400,0.152200,0.219800,3.702000,4.554000,6.582000
parse a csv fil,0.012640,0.020880,0.160800,1.260000,0.140400,0.191200,0.237200,3.630000,4.506000,6.540000
return the user,0.011200,0.019440,0.093600,0.564000,0.139200,0.158000,0.221800,3.672000,4.650000,6.540000
receive the url,0.016800,0.021840,0.120000,1.104000,0.145000,0.167000,0.238400,4.044000,5.022000,7.008000
send a message ,0.007360,0.016320,0.129600,0.972000,0.141200,0.163000,0.221200,3.738000,4.884000,6.906000
JSON string to ,0.009600,0.010320,0.050400,0.504000,0.126400,0.152200,0.217000,3.642000,4.512000,6.528000
Run SQL query,0.015520,0.009360,0.121200,1.176000,0.136400,0.155400,0.208800,3.900000,4.602000,6.660000
Get the first e,0.010880,0.015840,0.080400,0.648000,0.121800,0.148200,0.212800,3.462000,4.338000,6.366000
Debounce a valu,0.027840,0.042000,0.176400,1.764000,0.155000,0.165400,0.223600,3.792000,4.668000,6.696000
Throttle a valu,0.028160,0.042240,0.231600,2.424000,0.138800,0.167200,0.208800,3.744000,4.968000,6.726000
Round robin a v,0.025440,0.038160,0.144000,1.908000,0.134400,0.170400,0.232800,4.104000,4.944000,6.906000
Receive a list ,0.013920,0.022320,0.124800,1.116000,0.124600,0.152400,0.220800,3.612000,4.488000,6.516000
sort an array o,0.084320,0.017040,0.105600,0.924000,0.120000,0.148200,0.216200,3.606000,4.476000,6.510000
median,0.016800,0.022320,0.121200,1.176000,0.138800,0.163000,0.221200,3.744000,4.650000,6.660000
p80,0.028160,0.042000,0.176400,2.268000,0.146600,0.183600,0.237200,4.044000,4.968000,6.906000
average,0.021167,0.026979,0.130729,1.388471,0.136129,0.162918,0.222624,3.783176,4.687765,6.685059
