type,FT CC 3.5: S0,CC 3.5: S0,FT CC 3.5: S2,CC 3.5: S2,FT CC 3.5: S,CC 3.5: S,CC 4: S,FT CC 3.5: M3,CC 3.5: M3,FT CC 3.5: M,CC 3.5: M,CC 4: M,FT CC 3.5: L,CC 3.5: L,CC 4: L
cost (cents) - average,0.55¢,0.07¢,0.46¢,0.07¢,0.87¢,0.13¢,3.78¢,0.74¢,0.10¢,1.08¢,0.16¢,4.69¢,1.54¢,0.22¢,6.69¢
cost (cents) - median,0.45¢,0.07¢,0.46¢,0.07¢,0.87¢,0.13¢,3.74¢,0.73¢,0.10¢,1.07¢,0.16¢,4.65¢,1.53¢,0.22¢,6.66¢
cost (cents) - p10,0.32¢,0.05¢,0.38¢,0.06¢,0.81¢,0.12¢,3.61¢,0.66¢,0.10¢,1.01¢,0.15¢,4.48¢,1.48¢,0.21¢,6.51¢
cost (cents) - p20,0.40¢,0.05¢,0.40¢,0.06¢,0.83¢,0.12¢,3.63¢,0.70¢,0.10¢,1.03¢,0.15¢,4.51¢,1.50¢,0.22¢,6.53¢
cost (cents) - p30,0.42¢,0.06¢,0.42¢,0.06¢,0.85¢,0.12¢,3.67¢,0.71¢,0.10¢,1.05¢,0.15¢,4.55¢,1.51¢,0.22¢,6.54¢
cost (cents) - p40,0.44¢,0.06¢,0.42¢,0.06¢,0.86¢,0.12¢,3.70¢,0.72¢,0.10¢,1.06¢,0.15¢,4.60¢,1.53¢,0.22¢,6.58¢
cost (cents) - p50,0.45¢,0.07¢,0.46¢,0.07¢,0.87¢,0.13¢,3.74¢,0.73¢,0.10¢,1.07¢,0.16¢,4.65¢,1.53¢,0.22¢,6.66¢
cost (cents) - p60,0.67¢,0.08¢,0.50¢,0.07¢,0.89¢,0.13¢,3.83¢,0.74¢,0.10¢,1.11¢,0.16¢,4.81¢,1.54¢,0.23¢,6.73¢
cost (cents) - p70,0.68¢,0.08¢,0.52¢,0.07¢,0.90¢,0.13¢,3.90¢,0.78¢,0.11¢,1.11¢,0.16¢,4.88¢,1.58¢,0.23¢,6.82¢
cost (cents) - p80,0.88¢,0.10¢,0.56¢,0.08¢,0.94¢,0.14¢,4.04¢,0.82¢,0.11¢,1.14¢,0.17¢,4.97¢,1.59¢,0.23¢,6.91¢
cost (cents) - p90,0.92¢,0.11¢,0.60¢,0.09¢,1.03¢,0.15¢,4.42¢,0.89¢,0.12¢,1.28¢,0.18¢,5.27¢,1.70¢,0.24¢,7.30¢
time (seconds) - average,3.62,5.52,1.43,2.46,2.00,2.57,14.25,1.74,2.53,1.53,2.54,17.94,1.82,2.22,15.41
time (seconds) - median,2.66,5.17,1.30,2.51,1.55,3.02,13.80,1.60,2.71,1.46,2.70,14.83,1.23,2.38,14.27
time (seconds) - p10,1.42,2.90,0.67,1.40,0.92,1.40,7.93,0.93,1.33,0.94,1.74,8.57,0.88,1.46,7.66
time (seconds) - p20,2.06,4.02,0.81,1.84,1.14,1.52,9.69,1.13,1.54,0.99,1.88,9.66,1.07,1.60,9.57
time (seconds) - p30,2.40,4.06,0.92,1.96,1.27,1.81,10.12,1.32,2.19,1.10,2.08,11.26,1.12,1.69,9.73
time (seconds) - p40,2.51,4.20,0.99,2.07,1.49,2.54,12.01,1.42,2.37,1.23,2.56,12.27,1.14,1.94,9.73
time (seconds) - p50,2.66,5.17,1.30,2.51,1.55,3.02,13.80,1.60,2.71,1.46,2.70,14.83,1.23,2.38,14.27
time (seconds) - p60,4.58,6.57,1.83,2.83,1.65,3.07,14.97,2.04,2.96,1.67,2.92,19.67,1.78,2.71,18.54
time (seconds) - p70,4.71,6.86,1.98,3.16,1.78,3.10,16.42,2.17,3.31,1.90,3.05,20.34,1.91,2.79,19.04
time (seconds) - p80,6.67,7.92,2.23,3.37,1.98,3.70,21.20,2.77,3.73,2.18,3.46,31.36,2.33,3.12,19.68
time (seconds) - p90,8.07,13.02,3.75,4.71,11.38,4.42,40.00,3.58,4.58,3.32,4.06,46.65,9.09,3.82,39.77
score - average,1.00,1.00,4.47,3.59,4.76,4.76,4.65,4.00,4.41,4.71,4.35,4.82,4.24,4.65,5.00
score - median,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p10,1.00,1.00,4.00,1.00,5.00,4.00,5.00,2.00,4.00,4.00,2.00,5.00,2.00,4.00,5.00
score - p20,1.00,1.00,4.00,1.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00
score - p30,1.00,1.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p40,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p50,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p60,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p70,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p80,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
score - p90,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
