type,FT Ada,FT Babbage,FT Curie,FT Davinci,CC 3.5: S,CC 3.5: M,CC 3.5: L,CC 4: S,CC 4: M,CC 4: L
Concatenate two,3.00,1.00,5.00,2.00,5.00,1.00,5.00,5.00,5.00,5.00
Transform a map,2.00,2.00,2.00,2.00,1.00,1.00,5.00,1.00,5.00,5.00
receive an obje,2.00,1.00,2.00,2.00,1.00,1.00,5.00,5.00,5.00,5.00
receive an item,2.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00,3.00,5.00
Send an HTTP PO,4.00,5.00,5.00,5.00,1.00,5.00,5.00,5.00,5.00,5.00
parse a csv fil,2.00,2.00,2.00,2.00,5.00,1.00,1.00,5.00,5.00,5.00
return the user,2.00,2.00,2.00,2.00,1.00,5.00,5.00,5.00,5.00,5.00
receive the url,1.00,1.00,2.00,1.00,1.00,5.00,5.00,5.00,5.00,5.00
send a message ,2.00,2.00,2.00,2.00,5.00,4.00,5.00,5.00,4.00,5.00
JSON string to ,2.00,2.00,2.00,2.00,1.00,1.00,5.00,5.00,5.00,5.00
Run SQL query,2.00,2.00,2.00,2.00,5.00,1.00,5.00,5.00,5.00,5.00
Get the first e,2.00,2.00,3.00,4.00,1.00,1.00,5.00,5.00,5.00,5.00
Debounce a valu,2.00,5.00,4.00,4.00,1.00,4.00,5.00,5.00,5.00,5.00
Throttle a valu,3.00,3.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00
Round robin a v,4.00,4.00,2.00,4.00,1.00,1.00,5.00,5.00,5.00,5.00
Receive a list ,2.00,2.00,2.00,2.00,1.00,1.00,1.00,5.00,5.00,5.00
sort an array o,1.00,2.00,2.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00
median,2.00,2.00,2.00,2.00,1.00,1.00,5.00,5.00,5.00,5.00
p80,3.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00
average,2.24,2.35,2.59,2.71,2.35,2.53,4.29,4.65,4.82,5.00
