type,FT Ada,FT Babbage,FT Curie,FT Davinci,CC 3.5: S,CC 3.5: M,CC 3.5: L,CC 4: S,CC 4: M,CC 4: L
Concatenate two,0.9,0.7,1.6,2.4,3.6,4.2,4.3,8.8,7.5,7.7
Transform a map,0.8,0.9,1.8,3.5,12.9,16.1,3.9,12.6,8.6,9.6
receive an obje,1.1,3.6,2.2,5.9,11.6,12.3,36.3,21.6,46.7,19.0
receive an item,1.0,1.5,0.8,5.0,8.4,8.0,7.2,16.4,14.7,39.8
Send an HTTP PO,1.1,0.9,1.2,2.7,10.0,6.6,5.4,12.0,9.3,9.6
parse a csv fil,1.0,0.9,2.6,2.8,13.0,18.6,36.1,10.1,9.7,9.7
return the user,0.8,0.9,0.9,1.4,10.6,6.5,5.8,9.7,12.3,9.0
receive the url,0.9,1.8,1.0,2.1,13.0,10.0,11.0,17.5,19.3,18.5
send a message ,0.6,0.8,1.2,2.3,10.9,9.1,30.9,13.8,19.7,19.4
JSON string to ,1.2,0.6,0.7,1.5,7.1,5.1,4.3,10.0,11.3,9.7
Run SQL query,1.0,0.7,1.1,2.9,11.2,7.5,1.6,15.0,39.0,14.3
Get the first e,0.7,0.7,0.9,1.6,4.6,3.7,2.8,4.2,31.4,5.2
Debounce a valu,1.4,1.7,1.6,4.1,43.2,10.0,8.2,40.0,14.8,15.7
Throttle a valu,1.6,1.6,2.1,5.6,10.8,11.1,1.5,14.0,23.9,13.9
Round robin a v,1.3,2.5,1.3,4.4,9.6,12.0,34.9,21.2,20.3,19.7
Receive a list ,0.9,1.0,1.0,2.5,5.2,4.9,4.6,7.9,6.4,7.4
sort an array o,3.9,1.9,1.1,2.0,5.1,3.2,3.6,7.3,10.2,33.8
median,1.0,1.0,1.2,2.8,10.8,9.1,5.8,13.8,14.8,14.3
p80,1.4,1.9,2.1,5.0,13.0,12.3,34.9,21.2,31.4,19.7
average,1.2,1.3,1.4,3.1,11.2,8.8,11.9,14.2,17.9,15.4
